,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
39,Strange Days (1995),Strange Days（1995）.jpg,1995,"Action, Crime, Sci-Fi",lx,未完成
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",To Wong Foo Thanks for Everything Julie Newmar（1995）.jpg,1995,Comedy,lx,未完成
41,Billy Madison (1995),Billy Madison（1995）.jpg,1995,Comedy,lx,未完成
43,Disclosure (1994),Disclosure（1994）.jpg,1994,"Drama, Thriller",lx,未完成
44,Dolores Claiborne (1994),Dolores Claiborne（1994）.jpg,1994,"Drama, Thriller",lx,未完成
46,Exotica (1994),Exotica（1994）.jpg,1994,Drama,lx,未完成
47,Ed Wood (1994),Ed Wood（1994）.jpg,1994,"Comedy, Drama",lx,未完成
48,Hoop Dreams (1994),Hoop Dreams（1994）.jpg,1994,Documentary,lx,未完成
49,I.Q. (1994),IQ（1994）.jpg,1994,"Comedy, Romance",lx,未完成
50,Star Wars (1977),Star Wars（1977）.jpg,1977,"Action, Adventure, Romance, Sci-Fi, War",lx,未完成
51,Legends of the Fall (1994),Legends of the Fall（1994）.jpg,1994,"Drama, Romance, War, Western",lx,未完成
52,"Madness of King George, The (1994)",Madness of King George The（1994）.jpg,1994,Drama,lx,未完成
53,Natural Born Killers (1994),Natural Born Killers（1994）.jpg,1994,"Action, Thriller",lx,未完成
54,Outbreak (1995),Outbreak（1995）.jpg,1995,"Action, Drama, Thriller",lx,未完成
55,"Professional, The (1994)",Professional The（1994）.jpg,1994,"Crime, Drama, Romance, Thriller",lx,未完成
56,Pulp Fiction (1994),Pulp Fiction（1994）.jpg,1994,"Crime, Drama",lx,未完成
57,Priest (1994),Priest（1994）.jpg,1994,Drama,lx,未完成
58,Quiz Show (1994),Quiz Show（1994）.jpg,1994,Drama,lx,未完成
59,Three Colors: Red (1994),Three Colors Red（1994）.jpg,1994,Drama,lx,未完成
60,Three Colors: Blue (1993),Three Colors Blue（1993）.jpg,1993,Drama,lx,未完成
61,Three Colors: White (1994),Three Colors White（1994）.jpg,1994,Drama,lx,未完成
64,"Shawshank Redemption, The (1994)",Shawshank Redemption The（1994）.jpg,1994,Drama,lx,未完成
65,What's Eating Gilbert Grape (1993),Whats Eating Gilbert Grape（1993）.jpg,1993,"Comedy, Drama",lx,未完成
66,While You Were Sleeping (1995),While You Were Sleeping（1995）.jpg,1995,"Comedy, Romance",lx,未完成
67,Ace Ventura: Pet Detective (1994),Ace Ventura Pet Detective（1994）.jpg,1994,Comedy,lx,未完成
70,Four Weddings and a Funeral (1994),Four Weddings and a Funeral（1994）.jpg,1994,"Comedy, Romance",lx,未完成
72,"Mask, The (1994)",Mask The（1994）.jpg,1994,"Comedy, Crime, Fantasy",lx,未完成
